,Unnamed: 0,Unnamed: 0.1,author,stars,title,body,date,Class,Sentiment_score,Sentiment
15,15,5.0,KARTHIK,5.0 out of 5 stars,Speed Master,super speedbut fingerprint reader display little slow hard touch one,30-Apr-19,Fingerprint,0.614,neu
16,16,6.0,Chinmay pattanaik,5.0 out of 5 stars,Best smartphone,oneplus 6t best value money smartphone premium smartphone range cannot question whether one buy different question altogether every one plus phone worth buying mom still using one plus one base variant 1 gb ram 16gb memory still working fine without lags think 6t,30-Apr-19,Value for money,0.749,compound
17,17,7.0,YUVARAJ,5.0 out of 5 stars,Good,nice handle backup speed awesome,30-Apr-19,Value for money,0.303,compound
18,18,8.0,MURALIDHARAN S.,5.0 out of 5 stars,Experience speed like never before,flagship killer one best smartphones ever made,30-Apr-19,Value for money,0.288,pos
19,19,9.0,Amazon Customer,1.0 out of 5 stars,Chines Phone,plz dont buy phone,30-Apr-19,Not good,0.698,neu
20,20,0.0,pratik s.,5.0 out of 5 stars,perfect,perfect,29-Apr-19,Value for money,0.0,pos
21,21,1.0,Ayush S.,4.0 out of 5 stars,Fingerprint,finger print slow recognize sometimes things perfect price,29-Apr-19,Fingerprint,0.654,neu
22,22,2.0,Suresh,4.0 out of 5 stars,Working as expected,working expected,29-Apr-19,Value for money,1.0,neu
23,23,3.0,Rana Hazarika,5.0 out of 5 stars,Price High not affordable economy class people..,much high price business india economic 20000 peoples think buy it100+++profit less profit high volume sail+++profit100,29-Apr-19,Not good,0.852,neu
24,24,4.0,Nagaraja rao,1.0 out of 5 stars,Defective product delivered,delivered defective product sim slot 1 doesnt work return date expired within 2 weeks could understand defect,29-Apr-19,Not good,0.71,neu
25,25,5.0,Amazon Customer,3.0 out of 5 stars,Better,nice,29-Apr-19,Value for money,0.0,pos
26,26,6.0,Amazon Customer,4.0 out of 5 stars,Best in the class,truly benchmark phone cutting edge technology performance fingerprint little slow nice product,29-Apr-19,Fingerprint,0.565,compound
27,27,7.0,Amazon Customer,5.0 out of 5 stars,Orange race mobile,got mclaren edition birthday gift friendstoo fast facial recognition works like charmvery good battery life,29-Apr-19,Battery life,0.591,compound
28,28,8.0,Nikita kamath,5.0 out of 5 stars,Awesome product from OnePlus as well as Amazon delivery 😍,likes 1 battery life awesome 2 camera quality clearity 3 mirror black awesome 4 fast finger print facelock,29-Apr-19,Value for money,0.5,compound
29,29,9.0,Mulayam yadav,5.0 out of 5 stars,profile photo of the day of the day,nice wow great weekend know find herewith attached updated,29-Apr-19,Value for money,0.359,compound
30,30,0.0,Rohit,5.0 out of 5 stars,Fastest phone still in 2019,brought local store price 37999 8gb 128gb really like speed snapdragon 845touch sensitivity daylight photos animation fast charging technology premium look oxygen osdont likefingerprint sometimes dont recognize battery discharging fast negligible bcuz fast charger gives 50100 less 35 min lowlight photos improve photos get blurred sometimesalthough glass back putting cover looks like standard phone,29-Apr-19,Fingerprint,0.817,neu
31,31,1.0,Abhi,5.0 out of 5 stars,Overall phone is good,pros good camera long lasting battery phone performance good overall phone goodcons headphone jack still okay provide type c cable helps connect normal earphones ithonestly speaking phone good would suggest go worth price,29-Apr-19,Value for money,0.633,compound
32,32,2.0,adarsh chawla,5.0 out of 5 stars,Awesome,worth money wont regret buying phone everything excellent compromises great performance battery life go without worries,29-Apr-19,Value for money,0.434,compound
33,33,3.0,ashok k.,1.0 out of 5 stars,Wait n See,confused cancelled purchase cant opine lot many players crooped field choice difficult prices high,29-Apr-19,Not good,0.618,neu
34,34,4.0,Amarnath M.,5.0 out of 5 stars,Superb Phone - Must buy,overall super phone must buy without second thought,29-Apr-19,Value for money,0.642,neu
35,35,5.0,SSS,5.0 out of 5 stars,Review,good,29-Apr-19,Value for money,0.0,pos
36,36,6.0,udita puri,5.0 out of 5 stars,Must buy n amazing camera,total value money amazing camera,29-Apr-19,Picture Quality,0.326,compound
37,37,7.0,Santhosh D,4.0 out of 5 stars,A good all round phone with a decent camera,everything good camera upto expectation video recording good,29-Apr-19,Picture Quality,0.508,compound
38,38,8.0,Amazon Customer,5.0 out of 5 stars,Beaat Android phone,beast phone using past 3 months havent encountered issue want premium experience android phone go one,29-Apr-19,Value for money,0.92,neu
39,39,9.0,Rahim M,3.0 out of 5 stars,Complaint,phone black white colourwhere repair,29-Apr-19,Not good,1.0,neu
40,40,0.0,Uday Shankar Kumar,5.0 out of 5 stars,Good phone,fingerprint reader slow,22-Apr-19,Fingerprint,1.0,neu
41,41,1.0,Mandaar Giri,5.0 out of 5 stars,Best Android Phone in this price range,one word beast,22-Apr-19,Value for money,1.0,neu
42,42,2.0,Raiyan,5.0 out of 5 stars,best android phone over 30thousand,amazing user experience fastest android phone,22-Apr-19,Value for money,0.568,compound
43,43,3.0,Abhi,5.0 out of 5 stars,Fast and smooth,phone pretty fast lags fingerprint sometimes since display finger print sensor,22-Apr-19,Fingerprint,0.612,neu
44,44,4.0,Aman Sangra,4.0 out of 5 stars,sound issues,sound issues contact details,22-Apr-19,Value for money,1.0,neu
45,45,5.0,Vighnesh JB,5.0 out of 5 stars,My favorite,coolest thing found drawback fingerprint sensor little slow display compared phones,22-Apr-19,Fingerprint,1.0,neu
46,46,6.0,Amazon Customer,4.0 out of 5 stars,Phone is superfast and looks fabulous.,indisplay fingerprint reader slow compare iphone earlier oneplus models dedicated fingerprint readersrest phone fastest ever used may extra 2 gigs ram come mclaren edition,22-Apr-19,Fingerprint,0.88,neu
47,47,7.0,Neetesh,1.0 out of 5 stars,Fingerprint sensor stop working,liked phone general screen finger print sensor stopped working months,22-Apr-19,Fingerprint,0.63,neu
48,48,8.0,Dhruv Patel,5.0 out of 5 stars,OnePlus Hai To Paisa Vasul,face unlock fantabulous fingerprint unlock also faster battery life also better dash charger boht hard pubg support hard graphics hdr 6t purra paisa vasul hai nightmode amazing made phone mclaren edition theme,22-Apr-19,Fingerprint,0.689,compound
49,49,9.0,Jubin,5.0 out of 5 stars,Good,nice phone,22-Apr-19,Value for money,0.263,pos
50,50,0.0,Suspicious Minds,1.0 out of 5 stars,"Unreliable, becomes unresponsive",phone keeps hanging apparently known issue 6t easy fix available phone hangs stays frozen till battery wears nothing disappointing regret switching oneplus,22-Apr-19,Value for money,0.707,compound
51,51,1.0,Yashwanth Reddy,5.0 out of 5 stars,Good,nothing,22-Apr-19,Value for money,1.0,neu
52,52,2.0,Bharat S.,5.0 out of 5 stars,Nice,like,22-Apr-19,Value for money,0.0,pos
53,53,3.0,AKASH PAGARE,5.0 out of 5 stars,Good..,good,22-Apr-19,Value for money,0.0,pos
54,54,4.0,Vaseem chaudhary,1.0 out of 5 stars,Phn is vry gudd but front camera and selfie is not gud,camera quality good,22-Apr-19,Fingerprint,0.408,pos
55,55,5.0,Manoj,5.0 out of 5 stars,S!uperb,amazing needs improve ram optimization,21-Apr-19,Picture Quality,0.177,compound
56,56,6.0,Sarath B,3.0 out of 5 stars,Camera quality not upto the mark,pictures sharp looks good video stabilisation bad battery life good display awesome esp night mode,21-Apr-19,Value for money,0.451,compound
57,57,7.0,Loganathan R,5.0 out of 5 stars,Good phone.,like functionsdislike zoom function extraordinary zooming touch response,21-Apr-19,Value for money,0.737,neu
58,58,8.0,RAJAN GUPTA,5.0 out of 5 stars,Excellent,love phone much,21-Apr-19,Not good,0.323,pos
59,59,9.0,Amazon Customer,1.0 out of 5 stars,Hanging problem,hanging problem,21-Apr-19,Value for money,0.27,neg
60,60,0.0,arun,2.0 out of 5 stars,one plus is a subsidiary of oppo,got know purchase one plus 6t please dont buy nowhere comparable iphones premium phone chinese company worst part phones screen broken falling four feet ground despite screen guard one plus case screen got broken replaced today one plus store cp new delhi best part ambience store fantastic screen replacment flawless lots buddies came problem took nine thousand bucks warranty,18-Apr-19,Value for money,0.641,neu
61,61,1.0,Siddharth,5.0 out of 5 stars,Good,satisfied camera main con,18-Apr-19,Picture Quality,0.517,neu
62,62,2.0,Rajasekaran,5.0 out of 5 stars,Offers only to sell whatever they have and not to fulfill the customer's satisfaction.,product good since one plus 7 coming within month prefer buying even wait one plus 7 prounluckywe get deceived offerssince refuse take back rethink buying one plus futuremay last one plus,18-Apr-19,Value for money,0.765,neu
63,63,3.0,Sanjeev tyagi,5.0 out of 5 stars,I like it,good gajet,18-Apr-19,Value for money,0.256,pos
64,64,4.0,Amazon Customer,5.0 out of 5 stars,Marvel's,good phone,18-Apr-19,Value for money,0.256,pos
65,65,5.0,Preeti,5.0 out of 5 stars,Swift delivery of a great product,loved experience right branding unpacking box using phone everything 10 10 far,18-Apr-19,Value for money,0.738,neu
66,66,6.0,Amazon Customer,5.0 out of 5 stars,Good,good,18-Apr-19,Value for money,0.0,pos
67,67,7.0,G D.,5.0 out of 5 stars,Good phone 2 star for camera,good phone need improve camera n app integration received damaged box phone n accessories ok,18-Apr-19,Fingerprint,0.452,compound
68,68,8.0,Ashish Sharma,3.0 out of 5 stars,Review,fingerprint reader goodcamera upto markinterface little smoothervalue money found,18-Apr-19,Fingerprint,1.0,neu
69,69,9.0,JAY P.,5.0 out of 5 stars,Just Awesome.,rocking everywhere,18-Apr-19,Value for money,1.0,neu
70,70,0.0,Rosario_Aruldoss,5.0 out of 5 stars,Salute to OnePlus,best phone buy bought phone december 5th 2018 phone please aesthetically camera better apple iphones samsung phones terms clarity stability dslr camera packed small package battery performance also great massive 3700 mah capacity charge phone 2 days interface user friendly moreover phone ultimately fast lag observed phone thanks oneplus team wonderful product,18-Apr-19,Not good,0.597,compound
71,71,1.0,Abizer Khan,5.0 out of 5 stars,Awesome phone...,nice phone ever seen fast awesome battery backup,18-Apr-19,Value for money,0.465,compound
72,72,2.0,Amazon Customer,5.0 out of 5 stars,A great phone,great phone works without hangups touch sensor amazing camera gives amazing pictures face recognition doesnt differentiate neighbors times screen finger print sensor times doesnt recognize times great phone use,18-Apr-19,Fingerprint,0.613,compound
73,73,3.0,mallik,5.0 out of 5 stars,No comments,simple perfect,18-Apr-19,Fingerprint,0.213,pos
74,74,4.0,Abhishek Yeram,5.0 out of 5 stars,Great Product,nice product camera nice satisfied product,18-Apr-19,Fingerprint,0.263,compound
75,75,5.0,ashish,3.0 out of 5 stars,Update of app not possible,built packaging phone finehowever able switch phone since none apps updatedpl help,18-Apr-19,Not good,0.83,neu
76,76,6.0,Kevin Miranda,5.0 out of 5 stars,The Underdog Champion,review 5 months usage preordered purchased soon released india way back november 2018pros great battery life 225 days moderate light usage 115 days intense heavy usageaverage screen time 56 hours max ive got 95 hours impressive performance whether youre gaming watching netflix chatting 30+ chrome tabs open prepare smooth seamless experience lags stutters whatsoever restart phone twice month clear system cache required good camera agreed camera quality par likes topoftheline samsungs apples price range extremely impressive detailed crisp pictures daylight impressive low light photography albeit tradeoffs cutting edge indisplay fingerprint sensor concealed fingerprint scanner definitely faster others usually unlocks within couple milliseconds first try also doesnt work rarely software optimization side youll need place finger correctly else youll stuck thumb screen couple seconds hey works best rapid charge fastest charging device currently imo goes 100 almost hour charging happens rapidly battery level 50 speed slowly reduces battery percentage increases reduce damage device user smooth slick os love ui ux oxygen os feels almost like stock android perks added feels extremely zippy executing task stunning design build build quality design phone extremely impressive looks slick like beautifully crafted piece shiny black metal phone feels solid heavy weight might con according preferences oh notch dont worry looks beautiful youll never really notice start using device hide want os cons rip headphone jack know phone advertised without headphone jack supplied typec 35mm dongle cant always carry dongle around youll miss convenience one initially couple weeks youll get used get oneplus typec bullets wont miss 35mm jack short time typec bullets sound extremely good inbuilt dac 6t blurry nightscape night photography nightscape mode 6t could use work two modes operation 1 phone senses propped stand stable camera takes longer shoot low light pictures slow shutter allowing light pass 2 youre holding hand takes approx 12s shoot low light photosthe output always crisp bit blurry smoothened long dont zoom closely subject itll look good inbuild speaker earpiece loudspeaker sounds slightly tinny highs overpowering mids bass almost cant really hear bass earpiece kinda tiny placed top frame device almost invisible sometimes sometimes hard time hearing person call loud enough clear enough extremely poor haptic vibration trust vibration motor oneplus devices tested op x 3 3t 5 5t 6 6t almost nonexistent carry phone jean pocket feel youre holding hand youll never feel vibrating pocket blurry selfies rear camera topnotch front snapper much agreed gives beautiful selfies thats works properly 23 photos 5 snapped using front camera turn blurred hold phone really steady want good picture first attemptthumbs found helpful,18-Apr-19,Fingerprint,0.733,compound
77,77,7.0,Pooja.praveen.Kulkarni,5.0 out of 5 stars,Best featured phone,unbelievable speed phone well camera water resistance phone fast charging phone totally best phones ffdcj cjddhht,18-Apr-19,Value for money,0.608,compound
78,78,8.0,YASH,5.0 out of 5 stars,Simply awesome,best earphone jack problem,18-Apr-19,Value for money,0.225,pos
79,79,9.0,Khurshid ahemad,5.0 out of 5 stars,Never Settle/Now Only OnePlus,shine product display awesomesuperb camera powerfull processers camera mind blowingnow oneplus,18-Apr-19,Fingerprint,1.0,neu
80,80,0.0,Ranjita Baksi ,5.0 out of 5 stars,Nice phone,excellent photography,18-Apr-19,Value for money,0.213,pos
81,81,1.0,Arvind,5.0 out of 5 stars,"ONE PLUS 6T Phone is stylish ,Good Battery back up ,Just go for IT",one plus 6t rocking phone battery back speaker images voice quality well recommend thinking smart phone near budget 40k,18-Apr-19,Value for money,0.687,compound
82,82,2.0,Sachin S,5.0 out of 5 stars,The speed you need.,much much less even though fan onscreen fingerprint reader ive gotten used works like charmno lags amazing battery good camera add google camera youre set delivery could better got 5th day nearby place contacted said theyll deliver according bulk orders something kinda annoying package safe sound im happy,18-Apr-19,Fingerprint,0.606,compound
83,83,3.0,arush,5.0 out of 5 stars,Awesome,evrything love phone,18-Apr-19,Not good,0.323,pos
84,84,4.0,mahendra singh,5.0 out of 5 stars,Great,great,17-Apr-19,Value for money,0.0,pos
85,85,5.0,Jignesh Aghav,5.0 out of 5 stars,Worth to purchase,flagship level performance,17-Apr-19,Value for money,0.588,neu
86,86,6.0,Anurag V.,5.0 out of 5 stars,Sometime fingerprint not recognize but it is speedy work from another smartphones.,fingerprint recognize sometime bettery backup one day charged big issue replace oneplus6t,17-Apr-19,Battery life,0.859,neu
87,87,7.0,Vinnavan Vibha S,5.0 out of 5 stars,Good.. but not Great...,fingerprint reader satisfying face recognition gud image stabilization upto mark may gudbut wat expected dats lil upset,17-Apr-19,Fingerprint,0.728,neu
88,88,8.0,Amazon Customer,4.0 out of 5 stars,Costly,okay,17-Apr-19,Value for money,0.0,pos
89,89,9.0,Andrews Kevin,4.0 out of 5 stars,Good one plus,good phone seller charged delivery free delivery assured,17-Apr-19,Value for money,0.276,compound
90,90,0.0,Vineet Sikka,3.0 out of 5 stars,During call voice is cutting. Complant from other end . Pl resolve it immediately,voice problem,13-Apr-19,Value for money,0.27,neg
91,91,1.0,Durvesh,5.0 out of 5 stars,"Nice, phon,,",bhut bdiya phon hey low price wating one plus7 thanks amazon,13-Apr-19,Value for money,0.544,neu
92,92,2.0,Vani Ananthalakshmi,5.0 out of 5 stars,GP,good phone phone,13-Apr-19,Value for money,0.408,pos
93,93,3.0,Ujjal Paul,5.0 out of 5 stars,Best Smartphone,probably best using since last months smartphone beast serves needs well,13-Apr-19,Value for money,0.588,compound
94,94,4.0,Amazon Customer,5.0 out of 5 stars,Good phone,good,13-Apr-19,Value for money,0.0,pos
95,95,5.0,sagar,5.0 out of 5 stars,Best phone ever,processor 845 best dual camera n low light photography good,13-Apr-19,Value for money,0.395,compound
96,96,6.0,KETAN SETHI,5.0 out of 5 stars,The best,works perfectly,13-Apr-19,Battery life,0.192,pos
97,97,7.0,Vasu saini,1.0 out of 5 stars,Zero,damaged product,13-Apr-19,Not good,0.256,neg
98,98,8.0,Golam Mostafa,5.0 out of 5 stars,Good,excellent,13-Apr-19,Value for money,0.0,pos
99,99,9.0,Good quality ,5.0 out of 5 stars,Excellent product,really good producti appreciate thanks amazon every feature goodthe mobile fast smooth battery also goodi happy phone amazing product,13-Apr-19,Value for money,0.416,compound
100,100,0.0,PRATIK GAWADE,5.0 out of 5 stars,FINGERPRINT READER WORKS LIKE A CHARM.,even concerns indisplay fingerprint reader buying product using 2 weeks seems fingerprint reader works physical fingerprint reader though may seem like indisplay fingerprint reader slow trust blazing fast speed compared one plus 6,13-Apr-19,Fingerprint,0.833,neu
101,101,1.0,Soumya jain,4.0 out of 5 stars,Good but not worth,honest phone mclaren good phone seem 10 gb ram instead buy normal oneplus 6t 8gb ram phone absolutely good worth 50000 u may buy normal one,13-Apr-19,Value for money,0.651,compound
102,102,2.0,Zac,5.0 out of 5 stars,A complete package,bought set atleast next 3 years unbeatable phone,13-Apr-19,Not good,1.0,neu
103,103,3.0,Vicky,5.0 out of 5 stars,Nice,good,13-Apr-19,Value for money,0.0,pos
104,104,4.0,bhavik,5.0 out of 5 stars,Supeerrrr,super phone value money,13-Apr-19,Value for money,0.241,pos
105,105,5.0,Manjeet Kumar,4.0 out of 5 stars,Nice Product,need got one plus,13-Apr-19,Value for money,1.0,neu
106,106,6.0,Amazon Customer,5.0 out of 5 stars,Excellent,good smart phone range,13-Apr-19,Value for money,0.263,pos
107,107,7.0,Nagendra,5.0 out of 5 stars,Best phone,incredibly fast responive ram management awesome honestly dont hesitate go phone happy,13-Apr-19,Value for money,0.388,compound
108,108,8.0,Ank,5.0 out of 5 stars,Great phone 👍,great phone good specifications,13-Apr-19,Value for money,0.222,compound
109,109,9.0,ANANDA KRISHNA,5.0 out of 5 stars,Awesome,never compromised,13-Apr-19,Value for money,1.0,neu
110,110,0.0,Satya,5.0 out of 5 stars,Simply superb.,awesome mobile,10-Apr-19,Value for money,0.196,pos
111,111,1.0,p.v.s.s.n.varma,5.0 out of 5 stars,Super,super,10-Apr-19,Value for money,0.0,pos
112,112,2.0,abhishek,5.0 out of 5 stars,Almost 2 years down....n still in love with it!.,awesome phonecant get better,10-Apr-19,Value for money,0.222,compound
113,113,3.0,Singh,5.0 out of 5 stars,Awesome product with awesome price tag,awesome,10-Apr-19,Value for money,0.0,pos
114,114,4.0,Himani Patel,3.0 out of 5 stars,my loan installment is 7667 but on 1st april 7725 deduct in my account.,loan installment 7667 1st april 7725 deduct account answer soon possible,10-Apr-19,Value for money,1.0,neu
115,115,5.0,Sadiq,5.0 out of 5 stars,Good,nice,10-Apr-19,Value for money,0.0,pos
116,116,6.0,Cobra 818,5.0 out of 5 stars,"buy when on exchange offer , don't spend more than 32k",one plus makes could make 95 public happy best phone gifting dont whats going please fast charging nice display decent camera gaming plus pointcould better ip68 water resistant wireless charging wireless charger otherwise ignore 28k lg g7 alternative bought one plus someone else,10-Apr-19,Value for money,0.672,compound
117,117,7.0,Pushkar singh,5.0 out of 5 stars,1+6t😅😍👍,nice mobile,10-Apr-19,Value for money,0.263,pos
118,118,8.0,Daksh jain,5.0 out of 5 stars,Camera,good phone camera like dslr good pubg games lagging solid body sound qualty good purchase,10-Apr-19,Value for money,0.377,compound
119,119,9.0,anil,2.0 out of 5 stars,Not good compare to price,battery backup good generating heat,10-Apr-19,Battery life,0.58,neu
120,120,0.0,Kishor Kumar,5.0 out of 5 stars,Best,low light,10-Apr-19,Value for money,0.323,neg
121,121,1.0,Dhairya T.,3.0 out of 5 stars,Average,mark usual,10-Apr-19,Value for money,1.0,neu
122,122,2.0,George Lal,5.0 out of 5 stars,Value for money,fantastic product,10-Apr-19,Not good,0.217,pos
123,123,3.0,Nishant Agarwal,5.0 out of 5 stars,Amazing,mindblowing phone,10-Apr-19,Not good,1.0,neu
124,124,4.0,Ravi ,5.0 out of 5 stars,Fantastic,good,10-Apr-19,Value for money,0.0,pos
125,125,5.0,siddharth kamboj,5.0 out of 5 stars,Good product but slight heavy,product brilliant problem phone much heavy bulky 5t,10-Apr-19,Not good,0.48,neu
126,126,6.0,sreepriya,5.0 out of 5 stars,"Good product, fastest delivery",fastest delivery ever ordered product night 1145 pm morning 830 delivery guy calls give phoneno earphones box phone really good,10-Apr-19,Value for money,0.856,neu
127,127,7.0,harshit m.,3.0 out of 5 stars,Disappointing,oneplus 6t gets hanged frequently month phone getting hang bad quality product plus replacement option amazon,10-Apr-19,Value for money,0.729,neu
128,128,8.0,Neeraj,1.0 out of 5 stars,Amazon is not anymore trusty,battery performance poor lasts max 6 hrs complaint amazon even listening even though 3 days getting amazon,10-Apr-19,Value for money,0.558,neu
129,129,9.0,Tarak Patel,5.0 out of 5 stars,No words to describe,words,10-Apr-19,Value for money,1.0,neu
130,Picture Quality,,,,,,,Picture Quality,,
131,Fingerprint,,,,,,,Fingerprint,,
132,Value for money,,,,,,,Value for money,,
133,Not good,,,,,,,Not good,,
134,Battery life,,,,,,,Battery life,,
