,author,stars,title,body,date,Class
5,Vighnesh JB,5.0 out of 5 stars,My favorite,It's the coolest. The ONLY thing I found as a drawback is it's fingerprint sensor is a little slow because it's in the display compared to other phones.,22-Apr-19,
6,Amazon Customer,4.0 out of 5 stars,Phone is superfast and looks fabulous.,Indisplay Fingerprint reader is slow if you compare to iphone or earlier oneplus models with dedicated fingerprint readers.Rest the phone is the fastest that I have ever used (may be it's the extra 2 gigs of RAM that come with the McLaren edition).,22-Apr-19,
7,Neetesh,1.0 out of 5 stars,Fingerprint sensor stop working,Liked the phone in general but in screen finger print sensor has stopped working after few months,22-Apr-19,
8,Dhruv Patel,5.0 out of 5 stars,OnePlus Hai To Paisa Vasul,"The Face Unlock is fantabulous 😮. Fingerprint unlock is also a faster. Battery Life is also but better than is the "" DASH CHARGER BOHT HARD "". Pubg can support any hard graphics with HDR. ""6t is purra paisa vasul hai"". Nightmode is amazing !!! 😍 I made my phone in McLaren edition theme.",22-Apr-19,
9,Jubin,5.0 out of 5 stars,Good,Nice phone,22-Apr-19,
0,Suspicious Minds,1.0 out of 5 stars,"Unreliable, becomes unresponsive",Phone keeps hanging. Apparently its a known issue with 6t. And no easy fix available. Phone hangs and stays frozen till battery wears off. Nothing you can do. Very very disappointing. Regret switching to OnePlus.,22-Apr-19,
1,Yashwanth Reddy,5.0 out of 5 stars,Good,Nothing,22-Apr-19,
2,Bharat S.,5.0 out of 5 stars,Nice,Like it,22-Apr-19,
3,AKASH PAGARE,5.0 out of 5 stars,Good..,Good..,22-Apr-19,
4,Vaseem chaudhary,1.0 out of 5 stars,Phn is vry gudd but front camera and selfie is not gud,Camera quality is not good,22-Apr-19,
5,Manoj,5.0 out of 5 stars,S!uperb,Amazing. But needs to improve in ram optimization.,21-Apr-19,Picture Quality
6,Sarath B,3.0 out of 5 stars,Camera quality not upto the mark,Pictures are sharp and looks good but video stabilisation is so bad. Battery life is good. Display is awesome esp night mode,21-Apr-19,
7,Loganathan R,5.0 out of 5 stars,Good phone.,Like : All functions.Dislike: Zoom function. Extraordinary zooming and no touch response.,21-Apr-19,
8,RAJAN GUPTA,5.0 out of 5 stars,Excellent,I love this phone very much,21-Apr-19,
9,Amazon Customer,1.0 out of 5 stars,Hanging problem,Hanging problem,21-Apr-19,
0,arun,2.0 out of 5 stars,one plus is a subsidiary of oppo,"It got to know it after my purchase of one plus 6t. So please dont buy it. It is nowhere comparable to iphones. It is a premium phone from a chinese company. And the worst part is that my phone's screen has been broken falling just four feet from ground. Despite having screen guard and one plus case, the screen got broken and replaced today from one plus store, C.P. New delhi. The best part is that the ambience of store was fantastic, the screen replacment was flawless. lots of buddies came with same problem. It took just under nine thousand bucks UNDER WARRANTY.",18-Apr-19,
1,Siddharth,5.0 out of 5 stars,Good,"Satisfied,camera was the main con.",18-Apr-19,Picture Quality
2,Rajasekaran,5.0 out of 5 stars,Offers only to sell whatever they have and not to fulfill the customer's satisfaction.,"Product is good but since one plus 7 is coming within a month ,I prefer buying that or even wait for one plus 7 pro.Unlucky.We get deceived by the offers.Since they refuse to take back ,I have to rethink about buying one plus in future.May be this is my last one plus.",18-Apr-19,
3,Sanjeev tyagi,5.0 out of 5 stars,I like it,Good gajet,18-Apr-19,
4,Amazon Customer,5.0 out of 5 stars,Marvel's,Very good. Phone,18-Apr-19,
5,Preeti,5.0 out of 5 stars,Swift delivery of a great product,Loved the experience... right from branding to unpacking the box to using the phone.. everything has been 10 on 10 so far.,18-Apr-19,
6,Amazon Customer,5.0 out of 5 stars,Good,Good,18-Apr-19,
7,G D.,5.0 out of 5 stars,Good phone 2 star for camera,Good phone need to improve camera n app integration received damaged box phone n other accessories ok,18-Apr-19,
8,Ashish Sharma,3.0 out of 5 stars,Review,Fingerprint reader not goodCamera not upto the markInterface can be little more smootherValue for money not found,18-Apr-19,
9,JAY P.,5.0 out of 5 stars,Just Awesome.,Rocking everywhere...😁,18-Apr-19,
0,Rosario_Aruldoss,5.0 out of 5 stars,Salute to OnePlus,This is the best phone you can buy. I bought this phone on December 5th 2018. This phone will please you aesthetically. The camera is better than and the Apple iPhones and Samsung phones in terms of clarity and stability. It is a DSLR camera packed in a small package. The battery performance is also great to the massive 3700 maH capacity. I charge my phone only 2 days once. The interface is user friendly moreover the phone is ultimately fast there is no lag observed in this phone. Thanks to the oneplus team for such a wonderful product.,18-Apr-19,
1,Abizer Khan,5.0 out of 5 stars,Awesome phone...,Nice phone ever seen before very fast and awesome battery backup,18-Apr-19,
2,Amazon Customer,5.0 out of 5 stars,A great phone,Great phone. Works without hangups and the touch sensor is amazing. The camera gives you amazing pictures. The face recognition doesn't differentiate between me or neighbors at times. The on screen finger print sensor at times just doesn't recognize you. But those are only very few times. A great phone to use.,18-Apr-19,
3,mallik,5.0 out of 5 stars,No comments,Simple Perfect,18-Apr-19,
4,Abhishek Yeram,5.0 out of 5 stars,Great Product,Very Nice product. Camera is very nice & very satisfied with the product,18-Apr-19,
5,ashish,3.0 out of 5 stars,Update of app not possible,The built and packaging of the phone is fine.However I am not able to switch over to this phone since none of the apps can be updated...Pl help,18-Apr-19,
6,Kevin Miranda,5.0 out of 5 stars,The Underdog Champion,"Review after 5 months of usage. Pre-ordered and purchased it as soon as it was released in India, way back in November 2018.PROS:----------------• GREAT BATTERY LIFE: 2~2.5 days on moderate - light usage; 1~1.5 days on intense - heavy usage.Average screen on time: 5~6 hours. Max I've got: 9.5 hours.• IMPRESSIVE PERFORMANCE: Whether you're gaming, watching Netflix, chatting or have 30+ Chrome tabs open, prepare to have a smooth and seamless experience. No lags or stutters whatsoever (Just restart your phone once or twice a month; clear system cache if required.)• GOOD CAMERA: Agreed, the camera quality is not on par with the likes of the top-of-the-line Samsungs or Apples; but for this price range, it's extremely impressive. Detailed & crisp pictures in daylight, impressive low light photography, albeit with a few trade-offs here and there.• CUTTING EDGE IN-DISPLAY FINGERPRINT SENSOR: The concealed fingerprint scanner is definitely faster than the others out there, usually unlocks within a couple of milliseconds on the first try, but also doesn't work as it should rarely. This is more on the software optimization side. You'll need to place your finger correctly else, you'll be stuck with your thumb on the screen for a couple of seconds. But hey, when it works, it's the best out there.• RAPID CHARGE: The fastest charging device out there currently IMO. Goes to 100% in almost an hour. (Charging happens rapidly when the battery level is below 50%, and the speed slowly reduces as the battery percentage increases. This is to reduce damage to the device and the user.)• SMOOTH & SLICK OS: I love the UI & UX of Oxygen OS. Feels almost like stock Android, but with a few perks added here and there. Feels extremely zippy executing any task.• STUNNING DESIGN & BUILD: The build quality & design of this phone is extremely impressive. Looks slick, like a beautifully crafted piece of shiny black metal. The phone feels solid and heavy too (the weight might be a con according to your preferences). Oh and the notch! Don't worry, it looks beautiful and you'll never really notice it being there once you start using the device (You can hide it if you want through the OS).CONS:----------------• RIP HEADPHONE JACK: I know, the phone is advertised without having a headphone jack and with a supplied Type-C to 3.5mm dongle, but you can't always carry the dongle around, can you? You'll miss the convenience of having one initially, but after a couple of weeks, you'll get used to it. If you get the OnePlus Type-C Bullets, you won't miss the 3.5mm jack in a very short time. The Type-C Bullets sound extremely good with the in-built DAC of the 6T.• BLURRY NIGHTSCAPE/NIGHT PHOTOGRAPHY: The Nightscape mode of the 6T could use some work. There are two modes of operation: 1) If the phone senses that it's being propped up by a stand or is stable, the camera takes longer to shoot low light pictures with a slow shutter, allowing more light to pass through. 2) If you're holding it in your hand, it takes approx 1~2s to shoot low light photos.The output is not always crisp. It's a bit blurry/smoothened out. As long as you don't zoom closely into the subject, it'll look good.• IN-BUILD SPEAKER & EARPIECE: The loudspeaker sounds slightly tinny with the highs overpowering the mids and the bass. You almost can't really hear the bass. The earpiece is kinda tiny and is placed on top of the frame of the device. It's almost invisible and sometimes (only sometimes) I have a hard time hearing the other person on the call. It's loud enough, just not clear enough.• EXTREMELY POOR HAPTIC VIBRATION: Trust me on this. The vibration motor on all OnePlus devices (Tested the OP X, 3, 3T, 5, 5T, 6 & 6T) are almost non-existent if you carry your phone in your jean pocket. You can only feel it if you're holding it in your hand. You'll NEVER feel it vibrating if you have it in your pocket.• BLURRY SELFIES: While the rear camera is top-notch, the front snapper is not so much. Agreed it gives out beautiful selfies, but that's only when it works properly. 2~3 photos out of 5 snapped using the front camera turn out blurred. You have to hold the phone REALLY steady if you want a good picture on the first attempt.Thumbs up if you found this helpful!",18-Apr-19,
7,Pooja.praveen.Kulkarni,5.0 out of 5 stars,Best featured phone,Unbelievable speed phone and well camera and water resistance phone and fast charging phone .totally a best phones ffdcj cjddhht,18-Apr-19,
8,YASH,5.0 out of 5 stars,Simply awesome,The best. Earphone jack is the only problem,18-Apr-19,
9,Khurshid ahemad,5.0 out of 5 stars,Never Settle/Now Only OnePlus,Shine Product Display Is AwesomeSuperb Camera Powerfull Processers And Camera Mind BlowingNow Only Oneplus,18-Apr-19,
0,Ranjita Baksi ,5.0 out of 5 stars,Nice phone,Excellent photography,18-Apr-19,
1,Arvind,5.0 out of 5 stars,"ONE PLUS 6T Phone is stylish ,Good Battery back up ,Just go for IT","One Plus 6T is a rocking phone, Battery back up ,Speaker ,Images ,Voice Quality all well ,I will recommend to all who are thinking a smart phone near to budget of 40K ,",18-Apr-19,
2,Sachin S,5.0 out of 5 stars,The speed you need.,"So much more for so much less, even though I was not a fan of the onscreen fingerprint reader, I've gotten used to it now and works like a charm.No lags, amazing battery and a good camera (add Google camera and you're more than set).The delivery could have been better, got it on the 5th day when It was nearby my place but when contacted they said they'll deliver according to bulk orders or something which was kinda annoying, but package safe and sound and I'm happy.",18-Apr-19,
3,arush,5.0 out of 5 stars,Awesome,Evrything is love about this phone.,18-Apr-19,
4,mahendra singh,5.0 out of 5 stars,Great,Great,17-Apr-19,
5,Jignesh Aghav,5.0 out of 5 stars,Worth to purchase,Flagship level performance,17-Apr-19,
6,Anurag V.,5.0 out of 5 stars,Sometime fingerprint not recognize but it is speedy work from another smartphones.,Fingerprint not recognize sometime. Bettery backup one day if I charged 💯% it is a big issue. I have to replace my oneplus6T,17-Apr-19,Battery life
7,Vinnavan Vibha S,5.0 out of 5 stars,Good.. but not Great...,Fingerprint reader is not so satisfying... Face recognition is gud... Image stabilization not upto the mark.. may be it's gud...but wat I expected is more... Dats y lil upset...,17-Apr-19,
8,Amazon Customer,4.0 out of 5 stars,Costly,Okay,17-Apr-19,
9,Andrews Kevin,4.0 out of 5 stars,Good one plus,Good phone but seller charged for delivery when free delivery assured,17-Apr-19,
0,Vineet Sikka,3.0 out of 5 stars,During call voice is cutting. Complant from other end . Pl resolve it immediately,Voice problem,13-Apr-19,
1,Durvesh,5.0 out of 5 stars,"Nice, phon,,","Bhut bdiya phon hey,, at a low price, i am wating for one plus7.... thanks amazon",13-Apr-19,
2,Vani Ananthalakshmi,5.0 out of 5 stars,GP,Good phone phone,13-Apr-19,
3,Ujjal Paul,5.0 out of 5 stars,Best Smartphone,"Its probably the best, been using it since last few months and the smartphone is a beast. Serves all my needs well.",13-Apr-19,
4,Amazon Customer,5.0 out of 5 stars,Good phone,Good,13-Apr-19,
5,sagar,5.0 out of 5 stars,Best phone ever,Processor 845 is best . Dual camera n low light photography is good .,13-Apr-19,
6,KETAN SETHI,5.0 out of 5 stars,The best,Works perfectly,13-Apr-19,
7,Vasu saini,1.0 out of 5 stars,Zero,Damaged product,13-Apr-19,
8,Golam Mostafa,5.0 out of 5 stars,Good,Excellent,13-Apr-19,
9,Good quality ,5.0 out of 5 stars,Excellent product,Really good product..I appreciate it! Thanks to Amazon. Every feature is good.The mobile is very fast and smooth battery also very good.I am very happy with this phone.. Amazing product..,13-Apr-19,
0,PRATIK GAWADE,5.0 out of 5 stars,FINGERPRINT READER WORKS LIKE A CHARM.,"Even I had some concerns about indisplay fingerprint reader before buying this product but after using it for 2 weeks now, it seems that the fingerprint reader works same as the physical fingerprint reader. Though it may seem like indisplay fingerprint reader is slow but trust me it's the same blazing fast speed when I compared it with one plus 6.",13-Apr-19,
1,Soumya jain,4.0 out of 5 stars,Good but not worth,To be honest the phone McLaren is good but the phone does not seem to have 10 GB RAM instead you can buy a normal oneplus 6t with 8GB RAM. The phone is absolutely good but not worth to be a 50000 . U may buy a normal one.,13-Apr-19,
2,Zac,5.0 out of 5 stars,A complete package,"All those who have bought it, are set for atleast next 3 years. Unbeatable phone!",13-Apr-19,
3,Vicky,5.0 out of 5 stars,Nice,Good,13-Apr-19,
4,bhavik,5.0 out of 5 stars,Supeerrrr,Super phone. Value for money.,13-Apr-19,
5,Manjeet Kumar,4.0 out of 5 stars,Nice Product,All you need you got in One Plus,13-Apr-19,
6,Amazon Customer,5.0 out of 5 stars,Excellent,Very good smart phone in this range.,13-Apr-19,
7,Nagendra,5.0 out of 5 stars,Best phone,"Incredibly fast and responive , ram management is awesome , honestly don't hesitate just go for this phone . Very happy 😀",13-Apr-19,
8,Ank,5.0 out of 5 stars,Great phone 👍,Great phone with good specifications.,13-Apr-19,
9,ANANDA KRISHNA,5.0 out of 5 stars,Awesome,Never compromised,13-Apr-19,
0,Satya,5.0 out of 5 stars,Simply superb.,Awesome mobile.,10-Apr-19,
1,p.v.s.s.n.varma,5.0 out of 5 stars,Super,Super,10-Apr-19,
2,abhishek,5.0 out of 5 stars,Almost 2 years down....n still in love with it!.,Awesome phone.....can't get any better!!! ♥️♥️♥️,10-Apr-19,
3,Singh,5.0 out of 5 stars,Awesome product with awesome price tag,Awesome,10-Apr-19,
4,Himani Patel,3.0 out of 5 stars,my loan installment is 7667 but on 1st april 7725 deduct in my account.,my loan installment is 7667 but on 1st april 7725 deduct in my account. answer me as soon as possible.,10-Apr-19,
5,Sadiq,5.0 out of 5 stars,Good,Nice,10-Apr-19,
6,Cobra 818,5.0 out of 5 stars,"buy when on exchange offer , don't spend more than 32k","one plus makes that could make 95% of public happy . Best phone if you are gifting( you dont what's going to please )Fast charging, nice display, decent camera and gaming are plus point.could be better if was IP68 water resistant and wireless charging ( if you have wireless charger otherwise ignore)for 28k Lg g7 is a alternative ( i have that , bought one plus for someone else).",10-Apr-19,
7,Pushkar singh,5.0 out of 5 stars,1+6t😅😍👍,Nice mobile,10-Apr-19,
8,Daksh jain,5.0 out of 5 stars,Camera,"Good phone camera like DSLR ,Good for pubg and other games ,no lagging , solid body,sound qualty so good. So purchase it",10-Apr-19,
9,anil,2.0 out of 5 stars,Not good compare to price,Battery backup is not good and generating heat,10-Apr-19,Battery life
0,Kishor Kumar,5.0 out of 5 stars,Best,Low light,10-Apr-19,
1,Dhairya T.,3.0 out of 5 stars,Average,Not at mark. Usual.,10-Apr-19,
2,George Lal,5.0 out of 5 stars,Value for money,Fantastic product,10-Apr-19,
3,Nishant Agarwal,5.0 out of 5 stars,Amazing,Mind-blowing Phone,10-Apr-19,
4,Ravi ,5.0 out of 5 stars,Fantastic,Good,10-Apr-19,
5,siddharth kamboj,5.0 out of 5 stars,Good product but slight heavy,"Product is brilliant ,the only problem is that the phone is much heavy and bulky than 5t.",10-Apr-19,
6,sreepriya,5.0 out of 5 stars,"Good product, fastest delivery",Fastest delivery ever! Ordered this product at night 11.45 pm and morning 8.30 the delivery guy calls me up to give the phone.No earphones in the box. Phone is really good 👍,10-Apr-19,
7,harshit m.,3.0 out of 5 stars,Disappointing,The Oneplus 6t gets hanged frequently . It has not been a month and the phone is getting hang . Bad quality product . Plus there is no replacement option on Amazon,10-Apr-19,
8,Neeraj,1.0 out of 5 stars,Amazon is not anymore trusty,Battery performance is very poor and lasts for max 6 hrs. When complaint of it to Amazon they even not listening even though it's only 3 days of getting it from Amazon,10-Apr-19,
9,Tarak Patel,5.0 out of 5 stars,No words to describe,No words.,10-Apr-19,
